,text,likes,timestamp
0,"Narendra Modi..
The symbol of lies.

India asks many questions about the economy, employment, and price rise. Women safety, dalits, Adani, and Manipur.
Modi never opened his mouth.

But to tell a lie and cheat the people, he opens it.
This is an example of it.

Modi doesn't even…",214,08-08-2023
1,"This video clarifies everything about how the minorities living under the BJP rule in India. The situation is grim and taking shape of CIVIL WAR. They are openly saying it, ""Listen carefully, don't let any Muslim live now!"" #bjp #congerssi #india #delhi #mewat #haryana #manipur…",7,08-09-2023
2,"‘She is a minor, I am worried: Father of Dehraduni singer files complaint against Prashant Bhushan after he spread fake news amid Manipur unrest, talks to OpIndia

#OpIndiaExclusive

opindia.com/2023/08/father-d…",2429,08-08-2023
3,"#Watch 
The valley-based groups (Militants) are the ones who wage war against India for the past so many years: Major Amit Bansal, Geo-Politics & Geo-Strategic Experts

Who are the real terrorist groups in Manipur? Who are Anti-National groups? This video is clearly mentioned.…",262,08-08-2023
4,"Watch my press conference 👇. I have elaborated extensively on how Cong has betrayed the North East, particularly in reference to the current situation in Manipur.",792,08-08-2023
5,Even though the double engine policy has failed miserably everywhere. Manipur is burning example. Any state ruled by other party would have come under presidential rule.,0,08-09-2023
6,"""Distribution of lands and properties earlier owned by the Meitei people.""

""Timely intervention of Assam Rifles"".

WHAT is happening in Manipur? It's Kashmir 1989 all over again.

The Manipuri Hindus are the new Kashmiri Pandits.",5012,07-02-2023
7,Manipur CM @NBirenSingh evaded a question on the demand for him to step down & run away from the camera when questioned on the ruckus in the parliament over a viral video showing two women being paraded in the nude. #Manipur #ManipurViolence #Kukijustice #SaveManipurTribals,104,24-07-2023
8,"Meitei civilians are openly brandishing assault rifles in the presence of the media, highlighting a concerning situation in Manipur. 3000-4000 gun wielding men roaming in the valley with thousands more conscripted through Arambai on a daily basis- recipe for disaster! You can't…",451,08-08-2023
9,"@majoramitbansal reveal the truth on how #Meitei_Militants operate in Manipur. The Qs as to why #ManipurViolence continue for so long & what has gone wrong is  succinctly explained here.
No effort by the State Govt to retrieve those weapons & Ammo. In fact, more lootings allowed!",598,08-08-2023
10,"India wants to know why PM Modi is silent on Manipur

#NoConfidenceMotion
#Manipur",72,08-08-2023
11,"Talk Manipur.
No whatboutery",0,08-09-2023
12,"भारत 24 पर @Sakshijournalis के साथ जारी है...

मणिपुर पर सियासी लड़ाई, शाह बताएंगे पूरी सच्चाई !

#Manipur #AmitShah #ParliamentMonsoonSession2023 #Bharat24Digital",1,08-09-2023
13,5. Burning Anglo-Kuki Cemetry Gate- So Again burning 2-3 tyre is triggering point-U are too young-pls develop some sense-get some milk/protein and try to learn something early in the morning to develop some brain-cell! Yai Ko! THUK -LAOBRO???,0,08-09-2023
14,"😂😂😂 It’s a No Confidence Motion and not a debate on Manipur 

Awareness level of your average ‘journalist’",2352,08-08-2023
15,"#Manipur feels like the Partition of India, divide is so deep"" - WL Hangshing of Kuki People's Alliance on leaving NDA, sense of ""dejection"" and why ""you cannot even travel as far as from Delhi to Connaught Place across the demographic divide"". Full show piped.video/watch?v=ReqjsnjI…",367,08-08-2023
16,"Video of Poppy Plantation around Assam Riffles camp (Oroan top, Sajik Tampak, Manipur)
Location: goo.gl/maps/dz97uirb9aqsGqH4…

@ramindesai @dintentdata @AbhijitChavda @VLDMIRADITYNATH @BabaKPS86 @sankrant @desimojito @DivyaSoti @pushkal_dwivedi @KreatelyMedia #NarcoTerrorism #Manipur…",97,08-08-2023
17,"As the violence persists in Manipur, 30 individuals, predominantly Meiteis, remain unaccounted for as of Aug 2, including 2 Meitei journalists. Chin-Kuki leaders are accused of mutilating & clandestinely burying Meitei victims in undisclosed pits to hide their atrocities. They…",85,08-06-2023
18,"I can say with unflinching confidence that the Indian government will break the back bone of the narcotics business in Manipur and people whether political, militants or foreign players looking for an alternate to Afghanistan will face the heat. Manipur will grow economically…",2781,08-08-2023
19,"The Meitei hindus have started attacking Muslims in #Manipur.

The Muslims helped the Christian Kukis who were under attack from hindus and now Muslims are facing attack.
The well armed hindus have the support of Police and government.

The hindus killed several Christians.",172,08-08-2023
20,"From 20 th July INDIA demanded PM must come to Loksabha and make statement on Manipur.

They said he won’t come .

We said INDIA will make him  to come .

To break the arrogance of Modi
 “No Confidence motion “ move today 
we will start the discussion in Loksabha.",157,08-08-2023
21,"Mr @GauravGogoiAsm : 

BJP के पास दो MPs है मणिपुर से … उनको क्यों नहीं बुलाया ? ये जो आज भाषण दे रहे हैं (BJP से ) संसद में उन में से एक भी व्यक्ति Manipur नहीं गया है 

👇🏽",1219,08-08-2023
22,"""My father is improving day by day, but the progress is very slow since the damage that was done is extensive,"" said Joseph Valte, the son of #Manipur #BJP MLA Vungzagin Valte who was brutally attacked by a mob in Imphal on 5 May. @Wannabhistorian reports. thequint.com/news/india/disa…",3,08-09-2023
23,"""The way @BJP4India spread violence in Manipur & Haryana, they tried to spew venom in Assam in the guise of @VHPDigital (Vishva Hindu Parishad)""
- @BhupenKBorah, APCC President",13,08-08-2023
24,"""2 BJP MPs from Manipur were not allowed to speak in parliament today.""

Congress MP Gaurav Gogoi. 
#NoConfidenceMotion",2041,08-08-2023
25,"This is how meeteis are roaming freely, hand in hand with Manipur police, after the removal of AR from Moirang, Bishnupur.",7,08-08-2023
26,"It has been an incredibly distressing debut Parliament session to see how little regard or concern PM Modi & BJP have for the people of Manipur. 

A PM who parrots “Beti Bachao” has not come to Rajya Sabha for a SINGLE day to speak on the issue despite 267 Notices being issued by…",2134,08-08-2023
27,"‘She is a minor, I am worried: Father of Dehraduni singer files complaint against Prashant Bhushan after he spread fake news amid Manipur unrest, talks to OpIndia

#OpIndiaExclusive

opindia.com/2023/08/father-d…",2430,08-08-2023
28,"कांग्रेस की नीतियों के कारण, हमारे प्रदेश में अनधिकृत प्रवासी या घुसपैठिए आ गए, और इस गलती को सुधारने के लिए राजीव गांधी को मजबूरन असम समझौता स्वीकार करना पड़ा।

Let me share the chronology of ethnic violence since 1990 in Manipur

#CongBetraysNorthEast",1850,08-08-2023
